id,Tipo-costa,Altitud,Tipo-alttud,tipo-altitud-2,grupo_pob,NOMBRE COMPLETO,MUNICIPIO,PROVINCIA,CÓDIGO,ENTRADAS_2024,ENTRADAS_2019,pob_2024,tipo-pob,pob_2019,ENTRADASXHAB,ENTRADASXHAB_19,ENTRADASXTRAB,cnae-suma,VAR_ENTRADAS,recepcion_español_2024,recepcion_internacional_2024,ENTRADAS_ext
6575,no,716,Menos de 1000 metros,601-1.000,5001-10000,44025 Andorra,Andorra,Teruel,44025,5848,5674,7258,2.000 – 9.999,7472,"0,81","0,76","33,04","177,00","0,03",5521,327,"94,41"
2691,no,919,Menos de 1000 metros,601-1.000,5001-10000,18011 Alfacar,Alfacar,Granada,18011,4659,1606,5784,2.000 – 9.999,5400,"0,81","0,30","28,07","166,00","1,90",3992,667,"85,68"
428,no,783,Menos de 1000 metros,601-1.000,101-500,05056 Castellanos de Zapardiel,Castellanos de Zapardiel,Ávila,05056,91,0,113,<500,97,"0,81",,"91,00","1,00",No se puede calcular,91,0,"100,00"
3679,no,753,Menos de 1000 metros,601-1.000,101-500,24073 Fresno de la Vega,Fresno de la Vega,León,24073,384,644,477,<500,496,"0,81","1,30","128,00","3,00","-0,40",384,0,"100,00"
7293,no,711,Menos de 1000 metros,601-1.000,101-500,47036 Casasola de Arión,Casasola de Arión,Valladolid,47036,173,625,215,<500,249,"0,80","2,51","57,67","3,00","-0,72",173,0,"100,00"
6842,no,546,Menos de 1000 metros,201-600,1001-5000,45056 Chozas de Canales,Chozas de Canales,Toledo,45056,3932,6812,4887,2.000 – 9.999,3966,"0,80","1,72","163,83","24,00","-0,42",3764,168,"95,73"
3452,no,423,Menos de 1000 metros,201-600,101-500,22186 Pozán de Vero,Pozán de Vero,Huesca,22186,189,1034,235,<500,228,"0,80","4,54","47,25","4,00","-0,82",189,0,"100,00"
4315,no,932,Menos de 1000 metros,601-1.000,501-1000,"28021 Berrueco, El","Berrueco, El",Madrid,28021,656,816,816,500 – 1.999,760,"0,80","1,07","18,48","35,50","-0,20",415,241,"63,26"
3718,no,512,Menos de 1000 metros,201-600,50001-100000,24115 Ponferrada,Ponferrada,León,24115,50615,45760,62994,50.000 – 199.999,64674,"0,80","0,71","18,67","2710,50","0,11",44786,5829,"88,48"
2468,no,163,Menos de 1000 metros,0-200,5001-10000,17008 Anglès,Anglès,Girona,17008,4795,1051,5969,2.000 – 9.999,5599,"0,80","0,19","49,18","97,50","3,56",4085,710,"85,19"
6922,no,508,Menos de 1000 metros,201-600,5001-10000,"45136 Puebla de Montalbán, La","Puebla de Montalbán, La",Toledo,45136,6449,6068,8032,2.000 – 9.999,7861,"0,80","0,77","54,65","118,00","0,06",6021,428,"93,36"
2137,no,488,Menos de 1000 metros,201-600,1001-5000,15010 Boimorto,Boimorto,A Coruña,15010,1445,1603,1801,500 – 1.999,1985,"0,80","0,81","33,60","43,00","-0,10",1145,300,"79,24"
643,no,502,Menos de 1000 metros,201-600,101-500,06013 Atalaya,Atalaya,Badajoz,06013,207,598,258,<500,301,"0,80","1,99","103,50","2,00","-0,65",207,0,"100,00"
