Orden,Nombre,Frecuencia,Edad Media (*),sexo
1274,ERUNDINA,1.245 ,"76,2",Mujer
1832,JOAQUIMA,696 ,"76,2",Mujer
1909,HONORINA,649 ,"76,2",Mujer
13583,ESTANISLADA,49 ,"76,2",Mujer
26.404,DALMACIA,23 ,"76,2",Mujer
1560,HELIODORA,901 ,"76,1",Mujer
2314,HERMOSINDA,477 ,"76,1",Mujer
6853,GERVASIA,112 ,"76,1",Mujer
22826,AMADINA,27 ,"76,1",Mujer
26.067,SIRKKA LIISA,24 ,"76,1",Mujer
28.269,VALERIE MARGARET,22 ,"76,1",Mujer
29.770,ARMELINA,20 ,"76,1",Mujer
7655,LAUDINA,98 ,"76,0",Mujer
19831,EUSTOQUIA,32 ,"76,0",Mujer
23767,DULZURA,26 ,"76,0",Mujer
24.805,JULIA MARIA CARMEN,25 ,"76,0",Mujer
27.625,GERTRAUD,22 ,"76,0",Mujer
1280,CRESCENCIA,1.237 ,"75,9",Mujer
1658,DOSINDA,821 ,"75,9",Mujer
11227,IRMGARD,61 ,"75,9",Mujer
15253,EILEEN MARY,43 ,"75,9",Mujer
28.270,VALERIE MARY,22 ,"75,9",Mujer
30.231,LANDELINA,20 ,"75,9",Mujer
770,BASILISA,2.542 ,"75,8",Mujer
1682,NEMESIA,799 ,"75,8",Mujer
4954,RAMIRA,169 ,"75,8",Mujer
4983,DAMASA,167 ,"75,8",Mujer
5778,MAXIMIANA,139 ,"75,8",Mujer
11196,CAYA,61 ,"75,8",Mujer
21317,RAYMONDE,30 ,"75,8",Mujer
28.350,ADORINDA,21 ,"75,8",Mujer
29.137,MARIA LUISE,21 ,"75,8",Mujer
3009,ABUNDIO,330 ,"75,7",Hombres
4813,FLOREAL,182 ,"75,7",Hombres
11126,SABINIANO,66 ,"75,7",Hombres
23464,CRISPINIANO,26 ,"75,7",Hombres
838,VICTORIANA,2.238 ,"75,7",Mujer
1290,SEVERINA,1.226 ,"75,7",Mujer
1775,PEPITA,737 ,"75,7",Mujer
2918,PRECIOSA,342 ,"75,7",Mujer
3218,HERMITAS,299 ,"75,7",Mujer
3571,AMANCIA,258 ,"75,7",Mujer
3741,ELPIDIA,242 ,"75,7",Mujer
3958,OLEGARIA,225 ,"75,7",Mujer
4278,RUPERTA,205 ,"75,7",Mujer
5305,ARGELINA,154 ,"75,7",Mujer
9420,MAURINA,76 ,"75,7",Mujer
27.655,HERMANDINA,22 ,"75,7",Mujer
2425,EUTIQUIO,448 ,"75,6",Hombres
29137,JOHN MALCOLM,20 ,"75,6",Hombres
927,FIDELA,1.982 ,"75,6",Mujer
1233,GENEROSA,1.306 ,"75,6",Mujer
1468,ELEUTERIA,988 ,"75,6",Mujer
1548,ERMITAS,914 ,"75,6",Mujer
2397,BALTASARA,454 ,"75,6",Mujer
2621,INOCENTA,400 ,"75,6",Mujer
4230,MACARIA,208 ,"75,6",Mujer
6267,JUSTINIANA,126 ,"75,6",Mujer
16597,CLAVELINA,39 ,"75,6",Mujer
26.698,LADISLA,23 ,"75,6",Mujer
28630,AUSPICIO,20 ,"75,5",Hombres
1968,URBANA,620 ,"75,5",Mujer
1984,SEVERIANA,610 ,"75,5",Mujer
2362,ANICETA,463 ,"75,5",Mujer
2926,AMABLE,340 ,"75,5",Mujer
3947,CASTORA,225 ,"75,5",Mujer
4149,ESTILITA,212 ,"75,5",Mujer
4307,GONZALA,203 ,"75,5",Mujer
7341,GERMELINA,103 ,"75,5",Mujer
13566,CRISPULA,49 ,"75,5",Mujer
16739,MARGARET JEAN,39 ,"75,5",Mujer
18321,DOROTHY ANN,35 ,"75,5",Mujer
21577,CHRISTIANE MARIE,29 ,"75,5",Mujer
27.804,LERIDA,22 ,"75,5",Mujer
654,EUSEBIA,3.185 ,"75,4",Mujer
1754,LAUDELINA,746 ,"75,4",Mujer
2055,VENANCIA,567 ,"75,4",Mujer
3057,NICANORA,323 ,"75,4",Mujer
