CUSEC,Nivel,vivienda turistica,plazas,Porcentaje vivienda turistica,PERIODO,PROV_LITERAL,MUN_LITERAL
0105902018,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904016,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901014,Secciones,1,3,"0,13",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905028,Secciones,2,7,"0,28",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903035,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903005,Secciones,1,4,"0,10",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904001,Secciones,2,8,"0,31",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901017,Secciones,2,8,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905025,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905003,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903039,Secciones,1,4,"0,11",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902044,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902012,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903032,Secciones,1,4,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903009,Secciones,3,14,"0,33",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902045,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904021,Secciones,1,6,"0,19",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902009,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901039,Secciones,5,17,"0,85",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905031,Secciones,1,4,"0,12",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903026,Secciones,2,5,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903030,Secciones,1,4,"0,12",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905018,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904019,Secciones,1,2,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904020,Secciones,1,9,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901037,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902042,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902048,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903008,Secciones,1,4,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904022,Secciones,1,6,"0,17",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904002,Secciones,1,4,"0,19",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901015,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905001,Secciones,2,5,"0,48",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905015,Secciones,1,2,"0,25",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901008,Secciones,3,12,"0,52",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902021,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905010,Secciones,2,8,"0,39",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904025,Secciones,2,6,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903038,Secciones,1,4,"0,10",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901026,Secciones,1,4,"0,16",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901036,Secciones,1,4,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902008,Secciones,1,4,"0,19",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905022,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902014,Secciones,1,6,"0,17",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903027,Secciones,1,4,"0,20",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902047,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902046,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902016,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903021,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903037,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903023,Secciones,1,2,"0,14",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904009,Secciones,3,18,"0,30",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903036,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902033,Secciones,1,2,"0,28",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903028,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901021,Secciones,1,4,"0,09",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901004,Secciones,11,41,"0,87",2024M11,Araba/Álava,Vitoria-Gasteiz
0105906002,Secciones,2,9,"0,22",2024M11,Araba/Álava,Vitoria-Gasteiz
0105906001,Secciones,7,21,"0,55",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902043,Secciones,1,2,"0,11",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903041,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903019,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905038,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903029,Secciones,1,5,"0,22",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903011,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905006,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903042,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905032,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903016,Secciones,1,4,"0,11",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903020,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903043,Secciones,1,4,"0,12",2024M11,Araba/Álava,Vitoria-Gasteiz
0105902041,Secciones,3,6,"0,66",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903013,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903014,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905008,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105904031,Secciones,1,5,"0,11",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903034,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905026,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105903004,Secciones,2,6,"0,36",2024M11,Araba/Álava,Vitoria-Gasteiz
0105905014,Secciones,0,0,"0,00",2024M11,Araba/Álava,Vitoria-Gasteiz
0105901019,Secciones,4,15,"0,36",2024M11,Araba/Álava,Vitoria-Gasteiz
0106001001,Secciones,1,4,"0,49",2024M11,Araba/Álava,Yécora/Iekora
0106101001,Secciones,0,0,"0,00",2024M11,Araba/Álava,Zalduondo
0106201001,Secciones,1,4,"0,25",2024M11,Araba/Álava,Zambrana
0106301001,Secciones,8,82,"0,61",2024M11,Araba/Álava,Zuia
0190101001,Secciones,0,0,"0,00",2024M11,Araba/Álava,Iruña Oka/Iruña de Oca
0190101002,Secciones,0,0,"0,00",2024M11,Araba/Álava,Iruña Oka/Iruña de Oca
0190201001,Secciones,2,27,"0,29",2024M11,Araba/Álava,Lantarón
0200101001,Secciones,0,0,"0,00",2024M11,Albacete,Abengibre
0200201001,Secciones,2,30,"0,30",2024M11,Albacete,Alatoz
0200301013,Secciones,1,10,"0,15",2024M11,Albacete,Albacete
0200301011,Secciones,5,11,"0,44",2024M11,Albacete,Albacete
0200301012,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200301005,Secciones,6,23,"0,67",2024M11,Albacete,Albacete
0200301008,Secciones,9,31,"1,75",2024M11,Albacete,Albacete
0200301002,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200301003,Secciones,1,3,"0,09",2024M11,Albacete,Albacete
0200301001,Secciones,2,8,"0,41",2024M11,Albacete,Albacete
0200301010,Secciones,5,17,"0,32",2024M11,Albacete,Albacete
0200301007,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200301006,Secciones,5,16,"0,52",2024M11,Albacete,Albacete
0200304005,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200301009,Secciones,0,0,"0,00",2024M11,Albacete,Albacete
0200303006,Secciones,8,36,"1,34",2024M11,Albacete,Albacete
0200307001,Secciones,1,2,"0,13",2024M11,Albacete,Albacete
0200304004,Secciones,5,22,"0,76",2024M11,Albacete,Albacete
0200302013,Secciones,1,1,"0,20",2024M11,Albacete,Albacete
0200306007,Secciones,3,8,"0,43",2024M11,Albacete,Albacete
0200306014,Secciones,5,16,"0,48",2024M11,Albacete,Albacete
